time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontal,depthError,magError,magNst,status,locationSo,magSource
11-May-1990,32.951,-80.155,6.1,2.6,md,,,0.05396,0.1,se,se61018,30:05.9,"5 km SSE of Centerville, South Carolina",earthquake,,1,,,reviewed,us,us
2-Jun-1990,32.935,-80.15,5.4,2.5,md,,,0.03597,0.2,se,se61022,30:14.9,"6 km SSW of Ladson, South Carolina",earthquake,,2.8,,,reviewed,us,us
2-Jun-1990,32.907,-80.162,8.4,1.6,md,,,0.01799,0.2,se,se61023,30:20.9,"9 km S of Centerville, South Carolina",earthquake,,4.2,,,reviewed,us,us
18-Jun-1990,32.951,-80.158,4.9,2.6,md,,,0.05396,0.2,se,se61029,30:46.6,"5 km SSE of Centerville, South Carolina",earthquake,,1.1,,,reviewed,us,us
18-Jun-1990,32.952,-80.155,5.1,1,md,,,0.05396,0,se,se61030,30:51.9,"5 km SSE of Centerville, South Carolina",earthquake,,1.7,,,reviewed,us,us
18-Aug-1990,32.956,-80.162,6.7,0.5,md,,,0.05396,0.2,se,se61051,32:13.5,"4 km S of Centerville, South Carolina",earthquake,,4,,,reviewed,us,us
18-Aug-1990,32.938,-80.142,4.2,1.7,md,,,0.04497,0.2,se,se61052,32:15.3,"6 km SSW of Ladson, South Carolina",earthquake,,2.3,,,reviewed,us,us
9-Oct-1990,32.979,-80.086,11.6,1.2,md,,,0.08993,0.1,se,se61070,32:40.4,"2 km ESE of Ladson, South Carolina",earthquake,,3.9,,,reviewed,us,us
13-Nov-1990,32.947,-80.136,3.4,3.5,mb_lg,,,0.05396,0.1,se,se61078,22:44.4,"4 km SSW of Ladson, South Carolina",earthquake,,1.5,,,reviewed,us,us
13-Nov-1990,32.948,-80.147,5.4,0.6,md,,,0.05396,0.1,se,se61079,33:26.4,"5 km SW of Ladson, South Carolina",earthquake,,3.4,,,reviewed,us,us
13-Nov-1990,32.948,-80.149,5.9,0.8,md,,,0.05396,0.2,se,se61080,33:33.2,"5 km SW of Ladson, South Carolina",earthquake,,3.7,,,reviewed,us,us
15-Dec-1990,32.931,-80.177,5.4,0.7,md,,,0.02698,0.1,se,se61087,33:57.8,"7 km S of Centerville, South Carolina",earthquake,,2.2,,,reviewed,us,us
15-Jan-1991,32.953,-80.146,2,1.7,md,,,0.05396,0.2,se,se61096,34:44.3,"4 km SW of Ladson, South Carolina",earthquake,,3.2,,,reviewed,us,us
7-Feb-1991,32.939,-80.15,6.2,1.3,md,,,0.04497,0.1,se,se61102,35:02.5,"6 km SW of Ladson, South Carolina",earthquake,,3.3,,,reviewed,us,us
18-Feb-1991,32.962,-80.179,4.1,1.4,md,,,0.05396,0.2,se,se61104,35:05.8,"3 km SSW of Centerville, South Carolina",earthquake,,1.6,,,reviewed,us,us
5-Mar-1991,33.038,-80.172,0.9,2,md,,,0.09893,0.2,se,se61107,35:12.2,"2 km N of Summerville, South Carolina",earthquake,,1.3,,,reviewed,us,us
27-Mar-1991,33.019,-80.177,8.6,1.8,md,,91,0.08094,0,se,se61114,35:52.7,"0 km WNW of Summerville, South Carolina",earthquake,,0.9,,,reviewed,co,co
23-Apr-1991,32.953,-80.151,6.4,1.4,md,,,0.05396,0.2,se,se61119,36:02.9,"5 km SSE of Centerville, South Carolina",earthquake,,3.6,,,reviewed,us,us
24-Apr-1991,32.933,-80.188,9.3,1.4,md,,,0.02698,0.1,se,se61120,36:04.7,"7 km SSW of Centerville, South Carolina",earthquake,,1.9,,,reviewed,us,us
17-May-1991,32.94,-80.145,1,1.4,md,,,0.04497,0.2,se,se61127,36:17.5,"6 km SSW of Ladson, South Carolina",earthquake,,1.5,,,reviewed,us,us
2-Jun-1991,32.98,-80.214,5,1.7,md,,,0.07195,0.1,se,se61133,36:24.7,"4 km WSW of Centerville, South Carolina",earthquake,,3.9,,,reviewed,us,us
24-Aug-1991,32.939,-80.167,2.2,1.6,md,,,0.04497,0.2,se,se61150,37:08.0,"6 km S of Centerville, South Carolina",earthquake,,1.7,,,reviewed,us,us
22-Sep-1991,34.245,-82.134,1,2.3,md,,208,0.25181,0.3,se,se61153,37:15.3,"4 km WSW of Coronaca, South Carolina",earthquake,,,,,reviewed,co,co
22-Sep-1991,34.356,-82.216,15.5,2.4,md,,271,1.28603,0.3,se,se61154,37:16.4,"5 km SSE of Ware Shoals, South Carolina",earthquake,,99,,,reviewed,nm,nm
22-Sep-1991,34.432,-82.266,2,2.4,md,,255,0.35973,0.6,se,se61155,37:17.5,"4 km NNW of Ware Shoals, South Carolina",earthquake,,34.8,,,reviewed,co,co
17-Nov-1991,32.988,-80.123,3.8,1.3,md,,150,0.04497,0,se,se61178,37:59.6,"1 km WNW of Ladson, South Carolina",earthquake,,5.7,,,reviewed,co,co
3-Jan-1992,33.981,-82.421,3.3,3.4,md,,259,0.11691,0,se,se61195,38:34.7,"4 km ENE of Willington, South Carolina",earthquake,,0.3,,,reviewed,co,co
7-Jan-1992,33.835,-81.945,3,2.7,md,,198,0.2698,2.7,se,se61198,38:38.7,"5 km NNW of Edgefield, South Carolina",earthquake,,,,,reviewed,co,nm
30-Jan-1992,33.985,-82.434,3.9,2.1,md,,225,0.11691,0.1,se,se61202,38:44.3,"3 km ENE of Willington, South Carolina",earthquake,,4.1,,,reviewed,co,co
1-Feb-1992,33.991,-82.403,2,2.2,md,,270,0.09893,0.1,se,se61204,38:46.9,"6 km ENE of Willington, South Carolina",earthquake,,,,,reviewed,co,co
1-Feb-1992,33.991,-82.425,4.8,2.1,md,,225,0.10792,0.2,se,se61205,38:48.3,"4 km ENE of Willington, South Carolina",earthquake,,8.8,,,reviewed,co,co
1-Feb-1992,34.012,-82.442,4.8,2,md,,259,0.09893,0.2,se,se61206,38:49.5,"4 km NNE of Willington, South Carolina",earthquake,,2.7,,,reviewed,co,co
1-Feb-1992,34.006,-82.544,0.6,2.2,md,,272,1.28603,0.4,se,se61207,38:50.8,"3 km W of Mount Carmel, South Carolina",earthquake,,4.9,,,reviewed,nm,nm
19-Feb-1992,32.916,-80.089,10.3,1.2,md,,229,0.04497,0,se,se61211,38:54.8,"6 km W of Hanahan, South Carolina",earthquake,,0.9,,,reviewed,co,co
29-Feb-1992,33.016,-80.165,8.9,1.3,md,,92,0.08094,0,se,se61213,39:01.1,"1 km ESE of Summerville, South Carolina",earthquake,,1.4,,,reviewed,co,co
8-Mar-1992,32.958,-80.18,5.9,0.8,md,,156,0.05396,0,se,se61215,39:04.0,"4 km SSW of Centerville, South Carolina",earthquake,,0.5,,,reviewed,co,co
18-Apr-1992,33.02,-80.246,3,1,md,,169,0.05396,0.1,se,se61230,39:42.3,"6 km W of Summerville, South Carolina",earthquake,,,,,reviewed,co,co
30-Apr-1992,33.039,-80.164,5.9,1,md,,157,0.08993,0.1,se,se61234,39:48.1,"2 km NNE of Summerville, South Carolina",earthquake,,29.3,,,reviewed,co,co
7-May-1992,33.009,-80.161,5.3,1,md,,223,0.08094,0,se,se61237,39:52.5,"0 km WNW of Lincolnville, South Carolina",earthquake,,0.7,,,reviewed,co,co
7-May-1992,33.04,-80.151,2.5,1.5,md,,101,0.08094,0.1,se,se61238,39:54.1,"2 km WNW of Sangaree, South Carolina",earthquake,,1.9,,,reviewed,co,co
13-Jul-1992,33.495,-81.214,0.1,1.9,md,,85,0.44067,0.1,se,se61251,40:43.1,"6 km E of Springfield, South Carolina",earthquake,,0.8,,,reviewed,se,se
9-Aug-1992,33.013,-80.191,8.5,0.8,md,,155,0.06295,0,se,se61259,40:59.7,"1 km WSW of Summerville, South Carolina",earthquake,,0.4,,,reviewed,co,co
21-Aug-1992,32.987,-80.162,4.4,1.2,md,,74,0.07195,0.1,se,se61261,41:02.6,"1 km SE of Centerville, South Carolina",earthquake,,2.2,,,reviewed,co,co
21-Aug-1992,32.985,-80.163,6.5,4.1,mb_lg,,73,0.07195,0.1,se,se61262,41:04.0,"1 km SSE of Centerville, South Carolina",earthquake,,0.5,,,reviewed,co,us
21-Aug-1992,32.988,-80.166,5.2,0.6,md,,80,0.07195,0.1,se,se61263,41:05.5,"0 km SSE of Centerville, South Carolina",earthquake,,2,,,reviewed,co,co
6-Sep-1992,32.945,-80.13,5.8,0.8,md,,134,0.04497,0,se,se61264,41:06.8,"4 km SSW of Ladson, South Carolina",earthquake,,1.1,,,reviewed,co,co
20-Sep-1992,32.898,-80.81,10.7,1.4,md,,118,0.01799,0,se,se61266,41:09.6,,earthquake,,0.3,,,reviewed,co,co
2-Oct-1992,33.499,-81.202,3,2.4,md,,107,0.36872,0.1,se,se61268,41:16.5,"7 km E of Springfield, South Carolina",earthquake,,1.7,,,reviewed,co,co
17-Oct-1992,32.992,-80.185,4.4,1,md,,206,0.05396,0,se,se61269,41:22.5,South Carolina,earthquake,,1.4,,,reviewed,co,co
29-Oct-1992,34.364,-81.34,0.6,1.8,md,,297,1.16912,0.1,se,se61274,41:32.8,"11 km NNW of Jenkinsville, South Carolina",earthquake,,10.6,,,reviewed,nm,nm
30-Oct-1992,32.963,-80.179,6.5,1,md,,238,0.05396,0,se,se61275,41:38.0,"3 km SSW of Centerville, South Carolina",earthquake,,0.3,,,reviewed,co,co
1-Nov-1992,32.962,-80.203,3.7,1,md,,143,0.03597,0,se,se61276,41:39.3,"4 km SW of Centerville, South Carolina",earthquake,,0.1,,,reviewed,co,co
12-Nov-1992,32.933,-80.138,5.7,1.2,md,,132,0.03597,0,se,se61280,41:43.9,"6 km SSW of Ladson, South Carolina",earthquake,,0.6,,,reviewed,co,co
21-Nov-1992,32.95,-80.003,3.8,1.4,md,,273,0.06295,0,se,se61282,41:46.2,"3 km NNE of Hanahan, South Carolina",earthquake,,0.6,,,reviewed,co,co
12-Dec-1992,33.295,-81.837,10.7,1.2,md,,294,0.17087,0.1,se,se61285,41:49.7,"5 km SW of Jackson, South Carolina",earthquake,,1.3,,,reviewed,se,se
7-Jan-1993,32.909,-80.196,5.7,1.3,md,,149,,0.2,se,se61291,41:56.9,"9 km SSW of Centerville, South Carolina",earthquake,,4.1,,,reviewed,co,co
22-Jan-1993,32.931,-80.138,8.5,1,md,,253,0.03597,0,se,se61295,42:02.6,"6 km SSW of Ladson, South Carolina",earthquake,,,,,reviewed,co,co
11-Mar-1993,32.997,-80.23,9.1,1.4,md,,69,0.03597,0.1,se,se61302,42:11.0,"5 km W of Centerville, South Carolina",earthquake,,0.7,,,reviewed,co,co
31-Mar-1993,32.999,-80.04,5.2,1.2,md,,245,0.12591,0,se,se61312,42:54.8,"2 km NNW of Goose Creek, South Carolina",earthquake,,,,,reviewed,co,co
10-Apr-1993,32.886,-80.216,5,1.2,md,,190,0.02698,0,se,se61317,43:01.1,"12 km SSW of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
15-Jun-1993,32.977,-80.186,6.9,1.9,md,,86,0.05396,0.1,se,se61327,43:25.5,"2 km SW of Centerville, South Carolina",earthquake,,0.8,,,reviewed,co,co
29-Jun-1993,33.465,-81.245,4.3,2.2,md,,101,0.31476,0.3,se,se61329,43:42.2,"4 km SE of Springfield, South Carolina",earthquake,,25,,,reviewed,se,se
8-Aug-1993,33.597,-81.591,8.5,3.2,mb_lg,,112,0.16188,0.1,se,se61339,44:26.1,"12 km ENE of Aiken, South Carolina",earthquake,,1.5,,,reviewed,co,us
8-Aug-1993,33.615,-81.595,9,1.6,md,,170,0.14389,0.1,se,se61340,44:31.4,"13 km ENE of Aiken, South Carolina",earthquake,,0.5,,,reviewed,co,co
3-Oct-1993,32.992,-80.211,3.5,1,md,,89,0.03597,0.1,se,se61352,45:23.3,"3 km W of Centerville, South Carolina",earthquake,,3,,,reviewed,co,co
25-Nov-1993,32.936,-80.14,7.5,1,md,,126,0.03597,0,se,se61362,46:12.6,"6 km SSW of Ladson, South Carolina",earthquake,,1.2,,,reviewed,co,co
6-Dec-1993,32.938,-80.143,5,1,md,,183,0.04497,0.1,se,se61364,46:20.1,"6 km SSW of Ladson, South Carolina",earthquake,,,,,reviewed,co,co
29-Jan-1994,32.982,-80.163,6.6,1,md,,192,0.07195,0,se,se61370,46:43.0,"1 km SSE of Centerville, South Carolina",earthquake,,,,,reviewed,co,co
29-Jan-1994,33.852,-80.149,2,2.9,md,,260,0.6565,0.1,se,se61371,46:48.4,"12 km NNE of Alcolu, South Carolina",earthquake,,99.9,,,reviewed,co,co
8-Apr-1994,33.016,-80.141,3,1,md,,176,0.07195,0,se,se61383,47:10.5,"1 km NE of Lincolnville, South Carolina",earthquake,,,,,reviewed,co,co
14-Apr-1994,32.992,-80.221,9.5,1.3,md,,89,0.03597,0.1,se,se61384,47:11.7,"4 km W of Centerville, South Carolina",earthquake,,0.4,,,reviewed,co,co
17-Apr-1994,32.918,-80.094,3,0.8,md,,223,0.06295,0.1,se,se61386,47:14.0,"6 km W of Hanahan, South Carolina",earthquake,,,,,reviewed,co,co
18-Apr-1994,34.491,-81.249,3.4,1.4,md,,329,0.1349,0.1,se,se61387,47:15.3,"19 km NW of Winnsboro, South Carolina",earthquake,,4.9,,,reviewed,co,co
21-Apr-1994,32.937,-80.122,7,1.5,md,,154,0.04497,0.1,se,se61390,47:18.7,"5 km SSW of Ladson, South Carolina",earthquake,,1.3,,,reviewed,co,co
30-Apr-1994,32.835,-80.187,3.4,0.6,md,,248,0.07195,0.1,se,se61392,47:21.0,"9 km NW of Shell Point, South Carolina",earthquake,,0.6,,,reviewed,co,co
